PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Amen Thompson,HOU,30,1.8,24.6,1.13,2.1,0.7,1.2,56.8,56.8,29.1,9.1,27.3,5.5,58.2,49.3
Luke Kennard,MEM,23,2,21.6,1.33,2.7,0.9,1.8,47.6,69,4.3,6.5,4.3,2.2,45.7,86.1
Kelly Olynyk,UTA,49,1.1,14.7,1.11,1.2,0.4,0.9,51.2,64,9.1,16.4,7.3,3.6,45.5,45.5
Ziaire Williams,MEM,44,1.5,17.4,0.9,1.4,0.5,1.2,42.3,48.1,11.8,13.2,11.8,1.5,41.2,13
Jalen Duren,DET,34,1.5,12.1,1.18,1.7,0.8,1.2,67.5,67.5,12,12,12,4,62,59.6
Jarrett Allen,CLE,42,1.2,8.9,1.18,1.4,0.6,1,63.4,63.4,10,10,10,2,60,59.6
Moses Moody,GSW,34,1.4,17.3,1.23,1.7,0.7,1.1,63.9,66.7,14.9,12.8,12.8,4.3,59.6,70.4
Doug McDermott,SAS,45,1.2,21.3,1.11,1.3,0.4,1,44.4,63.3,1.9,11.5,1.9,0,40.4,46.4
Kristaps Porzingis,BOS,36,1.5,9.2,1.05,1.6,0.6,1.3,47.8,52.2,14.5,5.5,14.5,3.6,50.9,33
Andrew Wiggins,GSW,42,1.6,12.2,0.85,1.4,0.5,1.2,43.1,43.1,17.6,11.8,17.6,4.4,42.6,9.3
LaMelo Ball,CHA,22,3.3,13.2,0.79,2.6,0.7,2.3,32,41,12.5,18.1,12.5,0,34.7,7.2
Royce O'Neale,BKN,47,1.6,21.7,0.74,1.2,0.4,1.4,31.8,43.2,1.3,13,1.3,0,27.3,4.3
Jalen Smith,IND,36,1.2,14.5,1.3,1.6,0.6,1,58.3,63.9,16.3,4.7,16.3,4.7,60.5,83.8
Marcus Smart,MEM,20,2.7,16.4,1.06,2.8,0.8,1.8,45.7,60,17,20.8,13.2,3.8,43.4,33.9
Danuel House Jr.,PHI,33,1.4,32.6,1.22,1.7,0.6,0.9,64.5,69.4,28.9,13.3,28.9,11.1,60,69.6
Christian Wood,LAL,45,0.9,11.9,1.39,1.2,0.4,0.6,64,74,30.8,10.3,25.6,5.1,64.1,90.4
Landry Shamet,WAS,32,1.3,18.1,1.29,1.7,0.7,1.2,59.5,67.6,11.9,9.5,11.9,9.5,54.8,82
Naji Marshall,NOP,39,1.6,21.3,0.87,1.4,0.5,1.1,45.5,50,12.9,17.7,11.3,1.6,40.3,10.1
Shake Milton,MIN,38,1.3,23.8,1.08,1.4,0.5,1,48.7,53.8,14.3,8.2,12.2,2,51,38.8
Nickeil Alexander-Walker,MIN,50,1.3,17.7,0.84,1.1,0.4,1,40.8,49,6.3,15.9,6.3,0,36.5,8.4
Clint Capela,ATL,47,0.9,8.5,1.24,1.1,0.5,0.6,73.3,73.3,19,11.9,19,2.4,64.3,72.2
Jevon Carter,CHI,48,1,16.6,1.11,1.1,0.4,0.9,44.2,60.5,0,8.5,0,0,40.4,44.3
Walker Kessler,UTA,43,0.8,10.9,1.46,1.2,0.6,0.7,80,80,11.4,8.6,11.4,5.7,74.3,93.6
Nick Richards,CHA,39,0.8,10.4,1.56,1.3,0.5,0.6,87.5,87.5,18.8,6.3,18.8,0,84.4,97.1
Duop Reath,POR,38,0.8,10.2,1.56,1.3,0.5,0.7,71.4,85.7,6.3,9.4,6.3,3.1,65.6,97.1
Kris Dunn,UTA,43,1.3,22.7,0.86,1.2,0.5,1,47.7,54.5,3.4,20.7,3.4,0,39.7,9.6
Evan Mobley,CLE,24,1.7,11.5,1.2,2,0.9,1.3,67.7,67.7,12.2,14.6,9.8,2.4,61,63.5
Cameron Payne,MIL,45,0.9,16.7,1.17,1.1,0.3,0.8,44.1,58.8,11.9,9.5,11.9,2.4,45.2,57
Marcus Sasser,DET,44,1,13.9,1.14,1.1,0.4,0.8,51.4,60.8,4.7,9.3,2.3,0,48.8,51.3
Dean Wade,CLE,40,0.9,17.8,1.3,1.2,0.4,0.9,47.2,66.7,2.7,2.7,2.7,2.7,45.9,83.2
Jarred Vanderbilt,LAL,28,1.5,27.5,1.14,1.7,0.6,1,64.3,66.1,21.4,16.7,21.4,4.8,54.8,53.1
Nikola Vucevic,CHI,45,1.1,6.3,0.96,1.1,0.4,1,42.6,51.1,0,6,0,0,40,20
Dario Saric,GSW,44,0.9,9.2,1.24,1.1,0.3,0.7,51.7,69,10.5,13.2,10.5,0,50,71.9
