PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Austin Reaves,LAL,50,2.7,18.8,1.04,2.8,1,2.5,37.8,51.6,5.1,3.7,5.1,2.2,38.2,51.3
Devin Booker,PHX,40,3.2,12.7,1.12,3.5,1.4,3.1,45.9,57.8,0,3.2,0,0,44.4,66.7
Al Horford,BOS,40,3,42.3,1.18,3.5,1.2,2.9,41,59.8,0,1.7,0,0,40.3,76.1
Stephen Curry,GSW,43,2.6,10.4,1.24,3.2,1.1,2.5,45.4,63,1.8,2.7,1.8,0.9,44.6,88.5
Fred VanVleet,HOU,47,2.6,16.3,1.12,3,1,2.6,39.3,55.7,1.6,0,1.6,0,40.3,67.6
Cason Wallace,OKC,50,2.3,39.5,1.19,2.8,1,2.3,43.4,60.2,1.7,1.7,1.7,0.9,43.1,78.8
Jordan Clarkson,UTA,41,3.5,18.1,0.96,3.4,1.2,2.9,42.5,50,7,9.8,7,0.7,41.3,33.3
Peyton Watson,DEN,49,2.6,38.5,1.06,2.8,1,2.3,41.7,54.3,5.4,6.2,5.4,0.8,41.9,55.2
Myles Turner,IND,47,3.1,20.9,0.93,2.9,1.1,3,37.1,45.7,4.1,2.7,4.1,1.4,37.8,25.7
Bojan Bogdanovic,DET,28,4.1,21.3,1.19,4.9,1.8,3.7,48.5,64.6,2.6,8.8,1.8,1.8,44.7,79.4
Naji Marshall,NOP,39,2.9,39.5,1.18,3.5,1.2,2.6,45,58.5,10.4,4.3,10.4,1.7,47.8,77.3
Isaiah Stewart,DET,35,3.6,32.6,1.05,3.8,1.3,3.4,39.2,55,1.6,5.5,1.6,1.6,37,51.9
Dean Wade,CLE,40,2.7,51,1.25,3.3,1.1,2.6,42.3,63.5,0,1.9,0,0,41.5,89.4
Lonnie Walker IV,BKN,30,3.8,34,1.15,4.4,1.5,3.3,45.5,62.1,6.1,10.4,6.1,2.6,42.6,71.1
Ziaire Williams,MEM,44,3.2,36.2,0.94,3,1,2.9,35.2,48.8,2.8,7.1,2.8,0.7,34,28.3
Trey Lyles,SAC,33,3.2,48.2,1.25,4,1.3,2.9,46.3,68.9,1,8.6,0,0,41.9,89.7
Reggie Jackson,DEN,51,2.2,19,1.18,2.6,0.9,2.1,43.9,59.8,2.7,2.7,2.7,1.8,43.2,77
Cade Cunningham,DET,40,3.4,13.8,0.97,3.3,1.2,3.2,37.8,50,1.5,4.5,1.5,0.7,36.6,34.3
Khris Middleton,MIL,41,2.8,18.7,1.14,3.1,1.1,2.6,43.4,57.5,3.5,2.7,3.5,0,44.2,70.5
Jaime Jaquez Jr.,MIA,44,3.1,24.2,0.94,2.9,1,2.8,37.4,49.2,3.6,8,3.6,0.7,36.2,28
Trey Murphy III,NOP,24,4.6,41.4,1.16,5.3,1.8,4.2,42.6,57.4,7.3,1.8,6.4,0.9,44.5,73.7
Aaron Holiday,HOU,46,2.3,37.9,1.18,2.8,1,2.2,45.5,60.9,2.8,4.6,1.9,0.9,44.4,75.5
Isaac Okoro,CLE,38,3.3,40.3,1.01,3.3,1.2,2.9,39.3,51.3,7.1,5.6,7.1,1.6,40.5,41
Caris LeVert,CLE,37,3.7,22.9,0.93,3.4,1.1,3.4,33.1,45.2,6.6,2.9,5.9,0.7,36,26.3
James Harden,LAC,43,2.5,15.8,1.17,2.9,0.9,2.2,42.1,59.5,6.5,5.6,6.5,0.9,43,74.3
Tyus Jones,WAS,49,2.6,22.8,0.97,2.6,0.9,2.5,36.6,48,3.1,1.6,3.1,0,38,33.9
Jordan Poole,WAS,47,2.9,16.3,0.93,2.7,0.9,2.5,35,46.2,6.7,7.4,6.7,0.7,36.3,26
RJ Barrett,NYK,25,5.4,29.1,0.92,5,1.5,4.6,33.3,43.9,11.8,5.1,11,0.7,39,25.1
Julian Champagnie,SAS,43,2.8,49.2,1.02,2.9,0.8,2.4,34.6,49.5,9.8,7.4,9.8,2.5,36.9,44.5
Josh Green,DAL,36,3.8,44.6,0.91,3.4,1.2,3.3,36.7,50.4,2.9,10.9,2.9,1.5,32.8,23.9
Haywood Highsmith,MIA,36,2.9,48.4,1.18,3.4,1.1,2.7,40.8,59.7,2.9,2.9,2.9,0,41.3,77.9
Tyler Herro,MIA,30,3.7,17.3,1.11,4.1,1.4,3.4,42.6,55.9,5.4,4.5,5.4,0.9,43.2,65.5
Kristaps Porzingis,BOS,36,3.2,19.4,1.05,3.4,1.1,3,37,50,9.5,0.9,8.6,3.4,40.5,53.1
Keyonte George,UTA,45,2.6,21.3,1.02,2.7,0.8,2.2,36,46.5,14.3,5,13.4,3.4,41.2,47.2
Jevon Carter,CHI,48,2.9,49.1,0.88,2.5,0.9,2.8,32.8,44.8,1.4,2.9,1.4,0.7,32.4,19.5
Sam Merrill,CLE,32,2.3,33,1.62,3.8,1.3,2.3,54.8,80.8,1.4,0,1.4,0,55.4,99.7
Kelly Oubre Jr.,PHI,36,3.1,24.1,1.08,3.3,1.2,2.9,40.8,55.3,7.2,1.8,6.3,1.8,41.4,58.4
