PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Aaron Gordon,DEN,45,0.6,4.9,0.82,0.5,0.2,0.5,39.1,45.7,7.1,14.3,7.1,3.6,35.7,40.2
Cam Whitmore,HOU,26,1.1,10.4,0.79,0.9,0.4,1,42.3,42.3,6.9,6.9,6.9,3.4,41.4,32.5
Joe Ingles,ORL,36,1.3,24.1,0.51,0.6,0.3,0.8,31,32.8,6.7,31.1,4.4,2.2,24.4,6.8
Trey Murphy III,NOP,24,0.5,4.9,1.69,0.9,0.3,0.5,72.7,86.4,23.1,7.7,23.1,15.4,69.2,99.6
Jaden McDaniels,MIN,40,0.6,5.9,0.92,0.6,0.3,0.6,50,50,0,8.3,0,0,45.8,61.6
Quentin Grimes,NYK,44,0.6,7.8,0.88,0.5,0.1,0.4,31.6,47.4,8,16,4,0,32,51.3
Aaron Nesmith,IND,45,0.7,6.6,0.71,0.5,0.2,0.6,37,38.9,6.5,9.7,6.5,3.2,35.5,20.5
Max Christie,LAL,40,1,17.8,0.56,0.6,0.3,0.8,32.3,32.3,5.1,15.4,5.1,0,28.2,9.4
Ziaire Williams,MEM,44,1.2,13.8,0.41,0.5,0.2,0.8,22.2,22.2,5.6,27.8,1.9,0,20.4,1.7
Saddiq Bey,ATL,48,0.5,3.6,0.91,0.4,0.2,0.4,38.1,42.9,9.1,4.5,9.1,9.1,36.4,60.3
Cason Wallace,OKC,50,0.5,8.8,0.77,0.4,0.2,0.4,42.9,42.9,7.7,15.4,7.7,3.8,38.5,26.2
David Roddy,MEM,47,0.9,9.5,0.47,0.4,0.2,0.7,28.1,29.7,4.7,20.9,4.7,0,23.3,3.4
Joel Embiid,PHI,34,0.3,1,1.73,0.6,0.2,0.3,60,80,9.1,0,9.1,0,63.6,100
Chet Holmgren,OKC,50,0.4,2.7,0.95,0.4,0.2,0.3,50,53.1,5,15,5,0,45,70.5
Cam Reddish,LAL,34,0.6,8.8,0.86,0.6,0.2,0.4,46.7,46.7,13.6,18.2,9.1,0,45.5,48.7
Jordan Hawkins,NOP,44,0.6,6.3,0.7,0.4,0.2,0.5,35,37.5,7.4,18.5,3.7,0,33.3,18.9
Buddy Hield,IND,50,0.7,6.3,0.53,0.4,0.1,0.5,25.9,33.3,2.8,22.2,2.8,0,22.2,7.3
Pat Connaughton,MIL,44,0.4,7.4,1.13,0.4,0.1,0.3,54.5,63.6,18.8,18.8,18.8,6.3,50,94.9
Vince Williams Jr.,MEM,38,0.7,8.1,0.65,0.4,0.1,0.3,38.5,42.3,15.4,38.5,15.4,3.8,30.8,15
Trent Forrest,ATL,19,1.5,45.2,0.57,0.8,0.2,1.1,20,20,14.3,14.3,7.1,0,28.6,9.8
Monte Morris,DET,6,2.8,47.2,0.88,2.5,1.2,2.8,41.2,44.1,0,0,0,0,41.2,52.2
Domantas Sabonis,SAC,47,0.4,2,0.88,0.3,0.1,0.2,50,56.3,17.6,35.3,17.6,0,41.2,52.2
Keegan Murray,SAC,43,0.5,3.2,0.75,0.3,0.2,0.4,36.8,39.5,0,5,0,0,35,23.6
Kevin Huerter,SAC,45,0.6,5.6,0.58,0.3,0.1,0.4,37.5,43.8,3.8,38.5,3.8,3.8,23.1,10.3
Naz Reid,MIN,50,0.2,2.1,1.17,0.3,0.1,0.2,77.8,77.8,0,25,0,0,58.3,97
Seth Curry,DAL,36,0.5,11,0.78,0.4,0.2,0.5,35.3,38.2,5.6,5.6,5.6,5.6,33.3,28.3
Josh Green,DAL,36,0.5,5.9,0.78,0.4,0.2,0.3,54.5,59.1,11.1,27.8,11.1,0,38.9,28.3
Josh Hart,NYK,48,0.5,6.2,0.56,0.3,0.1,0.4,28.6,33.3,0,16,0,0,24,9
Julian Strawther,DEN,33,0.6,9.1,0.68,0.4,0.2,0.5,33.3,36.7,10.5,15.8,10.5,5.3,31.6,17.1
Nikola Jovic,MIA,19,0.5,8.4,1.2,0.6,0.2,0.3,66.7,83.3,10,30,10,0,50,98.3
Alperen Sengun,HOU,49,0.2,1.2,1,0.2,0.1,0.2,50,50,25,16.7,8.3,8.3,50,80.1
Santi Aldama,MEM,38,0.4,3.4,0.86,0.3,0.1,0.3,41.7,45.8,14.3,14.3,14.3,14.3,35.7,47.4
Jabari Smith Jr.,HOU,44,0.5,4,0.55,0.3,0.1,0.4,21.1,21.1,9.1,4.5,4.5,0,27.3,8.2
Luke Kennard,MEM,23,1,11.3,0.5,0.5,0.2,0.7,31.3,37.5,0,33.3,0,0,20.8,4.4
OG Anunoby,TOR,27,1.3,9.4,0.33,0.4,0.1,0.9,16,20,2.8,27.8,2.8,0,13.9,0.9
John Collins,UTA,47,0.3,1.9,0.92,0.2,0.1,0.2,45.5,50,8.3,0,0,0,41.7,61.6
Bam Adebayo,MIA,40,0.3,1.5,0.92,0.3,0.1,0.3,40,40,16.7,8.3,8.3,8.3,41.7,61.6
GG Jackson,MEM,18,0.9,10.8,0.65,0.6,0.2,0.7,23.1,26.9,23.5,0,23.5,0,41.2,14.2
Chris Duarte,SAC,35,0.5,12.1,0.58,0.3,0.1,0.3,16.7,25,15.8,21.1,15.8,0,26.3,10.7
Kelly Olynyk,UTA,49,0.2,3.2,0.83,0.2,0.1,0.2,33.3,33.3,16.7,8.3,8.3,0,41.7,42.9
Jaden Springer,PHI,30,0.7,15.7,0.46,0.3,0.1,0.5,28.6,28.6,9.1,27.3,4.5,0,22.7,2.6
Keon Ellis,SAC,27,0.5,13.6,0.64,0.3,0.1,0.4,30,45,0,28.6,0,0,21.4,13.7
Sam Merrill,CLE,32,0.5,6.7,0.6,0.3,0.1,0.4,30.8,34.6,0,13.3,0,0,26.7,11.6
Gabe Vincent,LAL,5,2.2,31.4,0.73,1.6,0.6,1.8,33.3,38.9,9.1,9.1,9.1,0,36.4,21.9
Evan Mobley,CLE,24,0.5,3.4,0.67,0.3,0.1,0.3,37.5,37.5,8.3,25,0,0,33.3,15.8
Isaac Okoro,CLE,38,0.4,4.5,0.5,0.2,0.1,0.3,25,25,7.1,14.3,7.1,7.1,21.4,4.4
