PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Jalen Williams,OKC,44,0.3,1.6,0.67,0.2,0.1,0.3,27.3,31.8,8.3,0,8.3,0,33.3,10.2
Obi Toppin,IND,50,0.3,2.9,0.61,0.2,0.1,0.2,27.3,36.4,0,15.4,0,0,23.1,7
Donte DiVincenzo,NYK,49,0.3,2.5,0.57,0.2,0,0.2,16.7,25,7.1,7.1,7.1,0,21.4,2.5
Eric Gordon,PHX,41,0.2,2,0.7,0.2,0.1,0.2,33.3,38.9,0,10,0,0,30,11.5
Joel Embiid,PHI,34,0.3,0.9,0.7,0.2,0.1,0.3,22.2,27.8,10,0,10,0,30,11.5
Seth Curry,DAL,36,0.4,9.8,0.44,0.2,0.1,0.4,23.1,26.9,0,18.8,0,0,18.8,0.6
Aaron Holiday,HOU,46,0.2,3.5,0.6,0.1,0,0.2,22.2,33.3,0,10,0,0,20,3.9
Bruce Brown,IND,32,0.3,2.7,0.6,0.2,0.1,0.2,42.9,42.9,0,30,0,0,30,3.9
Santi Aldama,MEM,38,0.3,3.1,0.46,0.2,0.1,0.3,18.2,22.7,7.7,7.7,7.7,0,23.1,1.3
Taylor Hendricks,UTA,13,0.8,15.9,0.36,0.3,0.1,0.6,12.5,18.8,9.1,18.2,0,0,18.2,0
